GEOID,Centroid_X,Centroid_Y,minx,miny,maxx,maxy,MEDIAN_INCOME
15000US420031918002,-80.0228446342,40.3905047689,-80.0264779999,40.388118,-80.0193100003,40.3930020004,62258.0
15000US420031918004,-80.0262802646,40.3935061534,-80.0307669998,40.3908500001,-80.0215459999,40.39623,60337.0
15000US420031918005,-80.0129263473,40.3846477121,-80.0175049998,40.3804420004,-80.0076320004,40.3894690003,47500.0
15000US420031918006,-80.0092899273,40.3860641236,-80.013377,40.3808979998,-80.006004,40.3901350004,53750.0
15000US420031918007,-80.0122439425,40.3900889945,-80.0161730004,40.3871470002,-80.0084700004,40.3923839998,40859.0
15000US420031919001,-80.0201214187,40.397380282,-80.0250440003,40.3937950001,-80.0156660004,40.4001239997,34397.0
15000US420031919002,-80.0190010468,40.394681449,-80.0236620004,40.3917680002,-80.0146939996,40.3980330004,39479.0
15000US420031919003,-80.0268835594,40.3963773179,-80.0311440001,40.3941890003,-80.0233260002,40.399175,40000.0
15000US420032406001,-79.9810756596,40.4627832229,-79.9934419998,40.4515879997,-79.9707670001,40.4716100003,36833.0
15000US420032406002,-79.9859958895,40.4611801286,-79.9946689998,40.4547709999,-79.9796369999,40.4672630004,40884.0
15000US420032412001,-79.988434941,40.471423666,-79.9950219999,40.460292,-79.9838679999,40.4774200002,30536.0
15000US420030103002,-79.9904722346,40.4368940805,-79.994713,40.4348510004,-79.9864619999,40.4389270004,
15000US420031918001,-80.020390811,40.3922903516,-80.0238180004,40.3897410002,-80.01671,40.3948490002,86250.0
15000US420030806002,-79.939740359,40.4582792611,-79.9437289997,40.4559100002,-79.9364900004,40.4600220001,50222.0
15000US420031403002,-79.9159618994,40.4403396276,-79.9199019999,40.4380250002,-79.9122460003,40.4431249997,84286.0
15000US420031608002,-79.9656420534,40.4216124471,-79.9695899998,40.4173740002,-79.961288,40.4244419997,31366.0
15000US420031608003,-79.9687825805,40.4192564189,-79.9729079999,40.4171790002,-79.9642980004,40.4215559997,41635.0
15000US420031608004,-79.9756046063,40.4209328085,-79.9798699999,40.4171279997,-79.9721019996,40.425053,39625.0
15000US420031609001,-79.9689012067,40.4295524804,-79.976265,40.4253700002,-79.9602960002,40.4338770004,60511.0
15000US420031803001,-79.9943899277,40.4247707358,-80.0038379999,40.4216480004,-79.9877279998,40.4289360001,20972.0
15000US420031803002,-79.9928103203,40.4208931499,-79.9974009999,40.4199199998,-79.988141,40.4218889998,28571.0
15000US420031803003,-79.9927424112,40.4191905248,-79.9973419998,40.4182609997,-79.9880339996,40.4200840002,35809.0
15000US420031706003,-79.9840521328,40.4197332894,-79.9882470004,40.4175559996,-79.9788689996,40.4226319999,28452.0
15000US420031807002,-80.0011284783,40.4247086135,-80.0050960004,40.4237189996,-79.9974759997,40.4257230003,40781.0
15000US420031903002,-80.0162067283,40.430072447,-80.0208500002,40.4258190002,-80.0102489997,40.4331629999,55208.0
15000US420031911002,-80.0261411519,40.4386190432,-80.0330560001,40.4333789999,-80.0177280001,40.4439429997,63043.0
15000US420031914001,-80.0064806727,40.4292006018,-80.0111109999,40.4242600003,-79.9967860003,40.4333399999,56667.0
15000US420032609001,-80.0025962361,40.4776336322,-80.0078460004,40.472209,-79.9953460004,40.4833270001,11716.0
